13.7690 	INFO 	Keyboard events cleared
13.7688 	EXP 	grating: autoDraw = True
13.7734 	EXP 	fixation: autoDraw = False
14.0549 	EXP 	grating: autoDraw = False
14.2872 	EXP 	Device response: <KeyPress from None: t=14.27761200000532, value=left, duration=None>
14.2928 	DATA 	Keypress: left
14.2955 	EXP 	fixation: autoDraw = False
14.2955 	EXP 	grating: autoDraw = False
14.2955 	EXP 	grating: ori = np.float64(4.0)
14.2955 	EXP 	fixation: autoDraw = True
14.4700 	EXP 	Device response: <KeyPress from None: t=14.27761200000532, value=left, duration=0.1801845830050297>
14.7854 	INFO 	Keyboard events cleared
14.7853 	EXP 	grating: autoDraw = True
14.7891 	EXP 	fixation: autoDraw = False
15.0717 	EXP 	grating: autoDraw = False
15.2863 	EXP 	Device response: <KeyPress from None: t=15.273471125008655, value=right, duration=None>
15.2904 	DATA 	Keypress: right
15.2931 	EXP 	fixation: autoDraw = False
15.2931 	EXP 	grating: autoDraw = False
15.2931 	EXP 	grating: ori = np.float64(4.0)
15.2931 	EXP 	fixation: autoDraw = True
15.4561 	EXP 	Device response: <KeyPress from None: t=15.273471125008655, value=right, duration=0.18029799999203533>
15.7853 	INFO 	Keyboard events cleared
15.7851 	EXP 	grating: autoDraw = True
15.7891 	EXP 	fixation: autoDraw = False
16.0716 	EXP 	grating: autoDraw = False
16.3204 	EXP 	Device response: <KeyPress from None: t=16.309635625002556, value=right, duration=None>
16.3257 	DATA 	Keypress: right
16.3286 	EXP 	fixation: autoDraw = False
16.3286 	EXP 	grating: autoDraw = False
16.3286 	EXP 	grating: ori = np.float64(-4.0)
16.3286 	EXP 	fixation: autoDraw = True
16.4902 	EXP 	Device response: <KeyPress from None: t=16.309635625002556, value=right, duration=0.17606512500788085>
16.8187 	INFO 	Keyboard events cleared
16.8185 	EXP 	grating: autoDraw = True
16.8221 	EXP 	fixation: autoDraw = False
17.1051 	EXP 	grating: autoDraw = False
17.2733 	EXP 	Device response: <KeyPress from None: t=17.271475125002326, value=left, duration=None>
17.2773 	DATA 	Keypress: left
17.2853 	EXP 	fixation: autoDraw = False
17.2853 	EXP 	grating: autoDraw = False
17.2853 	EXP 	grating: ori = np.float64(3.0)
17.2853 	EXP 	fixation: autoDraw = True
17.4032 	EXP 	Device response: <KeyPress from None: t=17.271475125002326, value=left, duration=0.12038791700615548>
17.7689 	INFO 	Keyboard events cleared
17.7687 	EXP 	grating: autoDraw = True
17.7738 	EXP 	fixation: autoDraw = False
18.0549 	EXP 	grating: autoDraw = False
18.1533 	EXP 	Device response: <KeyPress from None: t=18.151508750001085, value=right, duration=None>
18.1580 	DATA 	Keypress: right
18.1608 	EXP 	fixation: autoDraw = False
18.1608 	EXP 	grating: autoDraw = False
18.1608 	EXP 	grating: ori = np.float64(-3.0)
18.1608 	EXP 	fixation: autoDraw = True
18.3364 	EXP 	Device response: <KeyPress from None: t=18.151508750001085, value=right, duration=0.17216212500352412>
18.6520 	INFO 	Keyboard events cleared
18.6519 	EXP 	grating: autoDraw = True
18.6560 	EXP 	fixation: autoDraw = False
18.9383 	EXP 	grating: autoDraw = False
19.2037 	EXP 	Device response: <KeyPress from None: t=19.190451292000944, value=left, duration=None>
19.2089 	DATA 	Keypress: left
19.2121 	EXP 	fixation: autoDraw = False
19.2121 	EXP 	grating: autoDraw = False
19.2121 	EXP 	grating: ori = np.float64(3.0)
19.2121 	EXP 	fixation: autoDraw = True
19.3537 	EXP 	Device response: <KeyPress from None: t=19.190451292000944, value=left, duration=0.16041000001132488>
19.7023 	INFO 	Keyboard events cleared
19.7020 	EXP 	grating: autoDraw = True
19.7071 	EXP 	fixation: autoDraw = False
19.9890 	EXP 	grating: autoDraw = False
20.1562 	EXP 	Device response: <KeyPress from None: t=20.15436875000887, value=left, duration=None>
20.1602 	DATA 	Keypress: left
20.1687 	EXP 	fixation: autoDraw = False
20.1687 	EXP 	grating: autoDraw = False
20.1687 	EXP 	grating: ori = np.float64(-3.5)
20.1687 	EXP 	fixation: autoDraw = True
20.3206 	EXP 	Device response: <KeyPress from None: t=20.15436875000887, value=left, duration=0.15235316699545365>
20.6575 	INFO 	Keyboard events cleared
20.6573 	EXP 	fixation: autoDraw = False
20.6573 	EXP 	grating: autoDraw = True
20.9558 	EXP 	grating: autoDraw = False
21.3705 	EXP 	Device response: <KeyPress from None: t=21.365380917006405, value=left, duration=None>
21.3753 	DATA 	Keypress: left
21.3782 	EXP 	fixation: autoDraw = False
21.3782 	EXP 	grating: autoDraw = False
21.3782 	EXP 	grating: ori = np.float64(3.5)
21.3782 	EXP 	fixation: autoDraw = True
21.5200 	EXP 	Device response: <KeyPress from None: t=21.365380917006405, value=left, duration=0.14026025000202935>
21.8688 	INFO 	Keyboard events cleared
21.8686 	EXP 	grating: autoDraw = True
21.8726 	EXP 	fixation: autoDraw = False
22.1560 	EXP 	grating: autoDraw = False
22.3873 	EXP 	Device response: <KeyPress from None: t=22.385298250010237, value=right, duration=None>
22.3922 	DATA 	Keypress: right
22.3952 	EXP 	fixation: autoDraw = False
22.3952 	EXP 	grating: autoDraw = False
22.3952 	EXP 	grating: ori = np.float64(3.5)
22.3952 	EXP 	fixation: autoDraw = True
22.5564 	EXP 	Device response: <KeyPress from None: t=22.385298250010237, value=right, duration=0.1684247079974739>
22.8855 	INFO 	Keyboard events cleared
22.8854 	EXP 	grating: autoDraw = True
22.8894 	EXP 	fixation: autoDraw = False
23.1724 	EXP 	grating: autoDraw = False
23.2532 	EXP 	Device response: <KeyPress from None: t=23.249413000012282, value=right, duration=None>
23.2577 	DATA 	Keypress: right
23.2605 	EXP 	fixation: autoDraw = False
23.2605 	EXP 	grating: autoDraw = False
23.2605 	EXP 	grating: ori = np.float64(-3.0)
23.2605 	EXP 	fixation: autoDraw = True
23.4229 	EXP 	Device response: <KeyPress from None: t=23.249413000012282, value=right, duration=0.1722234579938231>
23.7522 	INFO 	Keyboard events cleared
23.7520 	EXP 	grating: autoDraw = True
23.7562 	EXP 	fixation: autoDraw = False
24.0383 	EXP 	grating: autoDraw = False
24.0871 	EXP 	Device response: <KeyPress from None: t=24.078393792005954, value=right, duration=None>
24.0921 	DATA 	Keypress: right
24.0949 	EXP 	fixation: autoDraw = False
24.0949 	EXP 	grating: autoDraw = False
24.0949 	EXP 	grating: ori = np.float64(3.5)
24.0949 	EXP 	fixation: autoDraw = True
24.2705 	EXP 	Device response: <KeyPress from None: t=24.078393792005954, value=right, duration=0.1801943750033388>
24.5854 	INFO 	Keyboard events cleared
24.5852 	EXP 	grating: autoDraw = True
24.5891 	EXP 	fixation: autoDraw = False
24.8713 	EXP 	grating: autoDraw = False
25.0700 	EXP 	Device response: <KeyPress from None: t=25.06339658300567, value=right, duration=None>
25.0748 	DATA 	Keypress: right
25.0776 	EXP 	fixation: autoDraw = False
25.0776 	EXP 	grating: autoDraw = False
25.0776 	EXP 	grating: ori = np.float64(3.5)
25.0776 	EXP 	fixation: autoDraw = True
25.2530 	EXP 	Device response: <KeyPress from None: t=25.06339658300567, value=right, duration=0.18425108400697354>
25.5688 	INFO 	Keyboard events cleared
25.5687 	EXP 	grating: autoDraw = True
25.5724 	EXP 	fixation: autoDraw = False
25.8555 	EXP 	grating: autoDraw = False
26.0871 	EXP 	Device response: <KeyPress from None: t=26.07642450000276, value=right, duration=None>
26.0923 	DATA 	Keypress: right
26.0952 	EXP 	fixation: autoDraw = False
26.0952 	EXP 	grating: autoDraw = False
26.0952 	EXP 	grating: ori = np.float64(3.5)
26.0952 	EXP 	fixation: autoDraw = True
26.2531 	EXP 	Device response: <KeyPress from None: t=26.07642450000276, value=right, duration=0.1642187079996802>
26.5856 	INFO 	Keyboard events cleared
26.5854 	EXP 	grating: autoDraw = True
26.5904 	EXP 	fixation: autoDraw = False
26.8716 	EXP 	grating: autoDraw = False
27.1370 	EXP 	Device response: <KeyPress from None: t=27.13426016700396, value=right, duration=None>
27.1418 	DATA 	Keypress: right
27.1447 	EXP 	fixation: autoDraw = False
27.1447 	EXP 	grating: autoDraw = False
27.1447 	EXP 	grating: ori = np.float64(3.0)
27.1447 	EXP 	fixation: autoDraw = True
27.2743 	EXP 	Device response: <KeyPress from None: t=27.13426016700396, value=right, duration=0.13631470799737144>
27.6354 	INFO 	Keyboard events cleared
27.6353 	EXP 	grating: autoDraw = True
27.6387 	EXP 	fixation: autoDraw = False
27.9213 	EXP 	grating: autoDraw = False
28.1392 	EXP 	Device response: <KeyPress from None: t=28.138366292012506, value=right, duration=None>
28.1431 	DATA 	Keypress: right
28.1521 	EXP 	fixation: autoDraw = False
28.1521 	EXP 	grating: autoDraw = False
28.1521 	EXP 	grating: ori = np.float64(3.0)
28.1521 	EXP 	fixation: autoDraw = True
28.2370 	EXP 	Device response: <KeyPress from None: t=28.138366292012506, value=right, duration=0.08820266599650495>
28.6357 	INFO 	Keyboard events cleared
28.6354 	EXP 	grating: autoDraw = True
28.6402 	EXP 	fixation: autoDraw = False
28.9221 	EXP 	grating: autoDraw = False
29.3039 	EXP 	Device response: <KeyPress from None: t=29.300271958010853, value=right, duration=None>
29.3086 	DATA 	Keypress: right
29.3115 	EXP 	fixation: autoDraw = False
29.3115 	EXP 	grating: autoDraw = False
29.3115 	EXP 	grating: ori = np.float64(-3.0)
29.3115 	EXP 	fixation: autoDraw = True
29.4574 	EXP 	Device response: <KeyPress from None: t=29.300271958010853, value=right, duration=0.15620541699172463>
29.8021 	INFO 	Keyboard events cleared
29.8019 	EXP 	grating: autoDraw = True
29.8057 	EXP 	fixation: autoDraw = False
30.0892 	EXP 	grating: autoDraw = False
30.3371 	EXP 	Device response: <KeyPress from None: t=30.330346125003416, value=left, duration=None>
30.3419 	DATA 	Keypress: left
30.3448 	EXP 	fixation: autoDraw = False
30.3448 	EXP 	grating: autoDraw = False
30.3448 	EXP 	grating: ori = np.float64(2.5)
30.3448 	EXP 	fixation: autoDraw = True
30.4873 	EXP 	Device response: <KeyPress from None: t=30.330346125003416, value=left, duration=0.14827620799769647>
30.8356 	INFO 	Keyboard events cleared
30.8354 	EXP 	grating: autoDraw = True
30.8400 	EXP 	fixation: autoDraw = False
31.1221 	EXP 	grating: autoDraw = False
31.3867 	EXP 	Device response: <KeyPress from None: t=31.382268583009136, value=right, duration=None>
31.3913 	DATA 	Keypress: right
31.3941 	EXP 	fixation: autoDraw = False
31.3941 	EXP 	grating: autoDraw = False
31.3941 	EXP 	grating: ori = np.float64(2.5)
31.3941 	EXP 	fixation: autoDraw = True
31.5516 	EXP 	Device response: <KeyPress from None: t=31.382268583009136, value=right, duration=0.15629129199078307>
31.8855 	INFO 	Keyboard events cleared
31.8854 	EXP 	grating: autoDraw = True
31.8889 	EXP 	fixation: autoDraw = False
32.1718 	EXP 	grating: autoDraw = False
32.6204 	EXP 	Device response: <KeyPress from None: t=32.61327587500273, value=right, duration=None>
32.6254 	DATA 	Keypress: right
32.6283 	EXP 	fixation: autoDraw = False
32.6283 	EXP 	grating: autoDraw = False
32.6283 	EXP 	grating: ori = np.float64(-2.5)
32.6283 	EXP 	fixation: autoDraw = True
32.7533 	EXP 	Device response: <KeyPress from None: t=32.61327587500273, value=right, duration=0.13216183299664408>
33.1189 	INFO 	Keyboard events cleared
33.1187 	EXP 	grating: autoDraw = True
33.1238 	EXP 	fixation: autoDraw = False
33.4058 	EXP 	grating: autoDraw = False
33.5034 	EXP 	Device response: <KeyPress from None: t=33.49117850000039, value=right, duration=None>
33.5085 	DATA 	Keypress: right
33.5114 	EXP 	fixation: autoDraw = False
33.5114 	EXP 	grating: autoDraw = False
33.5114 	EXP 	grating: ori = np.float64(-3.0)
33.5114 	EXP 	fixation: autoDraw = True
33.6200 	EXP 	Device response: <KeyPress from None: t=33.49117850000039, value=right, duration=0.1202862080099294>
34.0023 	INFO 	Keyboard events cleared
34.0021 	EXP 	grating: autoDraw = True
34.0065 	EXP 	fixation: autoDraw = False
34.2892 	EXP 	grating: autoDraw = False
34.3739 	EXP 	Device response: <KeyPress from None: t=34.369152292012586, value=left, duration=None>
34.3781 	DATA 	Keypress: left
34.3853 	EXP 	fixation: autoDraw = False
34.3853 	EXP 	grating: autoDraw = False
34.3853 	EXP 	grating: ori = np.float64(3.0)
34.3853 	EXP 	fixation: autoDraw = True
34.5240 	EXP 	Device response: <KeyPress from None: t=34.369152292012586, value=left, duration=0.15235066598688718>
34.8741 	INFO 	Keyboard events cleared
34.8739 	EXP 	fixation: autoDraw = False
34.8739 	EXP 	grating: autoDraw = True
35.1372 	EXP 	Device response: <KeyPress from None: t=35.13208750000922, value=left, duration=None>
35.1424 	EXP 	fixation: autoDraw = False
35.1424 	EXP 	grating: autoDraw = False
35.1424 	EXP 	grating: ori = np.float64(3.5)
35.1424 	EXP 	fixation: autoDraw = True
35.1456 	DATA 	Keypress: left
35.2732 	EXP 	Device response: <KeyPress from None: t=35.13208750000922, value=left, duration=0.1403182499925606>
35.6357 	INFO 	Keyboard events cleared
35.6355 	EXP 	grating: autoDraw = True
35.6399 	EXP 	fixation: autoDraw = False
35.9221 	EXP 	grating: autoDraw = False
36.1868 	EXP 	Device response: <KeyPress from None: t=36.17314595800417, value=right, duration=None>
36.1914 	DATA 	Keypress: right
36.1943 	EXP 	fixation: autoDraw = False
36.1943 	EXP 	grating: autoDraw = False
36.1943 	EXP 	grating: ori = np.float64(3.5)
36.1943 	EXP 	fixation: autoDraw = True
36.3370 	EXP 	Device response: <KeyPress from None: t=36.17314595800417, value=right, duration=0.15638383400801104>
36.6856 	INFO 	Keyboard events cleared
36.6854 	EXP 	grating: autoDraw = True
36.6893 	EXP 	fixation: autoDraw = False
36.9716 	EXP 	grating: autoDraw = False
37.1363 	EXP 	Device response: <KeyPress from None: t=37.12923241700628, value=right, duration=None>
37.1407 	DATA 	Keypress: right
37.1435 	EXP 	fixation: autoDraw = False
37.1435 	EXP 	grating: autoDraw = False
37.1435 	EXP 	grating: ori = np.float64(3.5)
37.1435 	EXP 	fixation: autoDraw = True
37.3038 	EXP 	Device response: <KeyPress from None: t=37.12923241700628, value=right, duration=0.16413495800225064>
37.6357 	INFO 	Keyboard events cleared
37.6355 	EXP 	grating: autoDraw = True
37.6402 	EXP 	fixation: autoDraw = False
37.9217 	EXP 	grating: autoDraw = False
38.0537 	EXP 	Device response: <KeyPress from None: t=38.04211987501185, value=right, duration=None>
38.0585 	DATA 	Keypress: right
38.0614 	EXP 	fixation: autoDraw = False
38.0614 	EXP 	grating: autoDraw = False
38.0614 	EXP 	grating: ori = np.float64(-3.0)
38.0614 	EXP 	fixation: autoDraw = True
38.2200 	EXP 	Device response: <KeyPress from None: t=38.04211987501185, value=right, duration=0.16425199998775497>
38.5524 	INFO 	Keyboard events cleared
38.5522 	EXP 	grating: autoDraw = True
38.5565 	EXP 	fixation: autoDraw = False
38.8389 	EXP 	grating: autoDraw = False
39.0871 	EXP 	Device response: <KeyPress from None: t=39.07812333300535, value=left, duration=None>
39.0923 	DATA 	Keypress: left
39.0952 	EXP 	fixation: autoDraw = False
39.0952 	EXP 	grating: autoDraw = False
39.0952 	EXP 	grating: ori = np.float64(-3.0)
39.0952 	EXP 	fixation: autoDraw = True
39.2398 	EXP 	Device response: <KeyPress from None: t=39.07812333300535, value=left, duration=0.16026200000487734>
39.5856 	INFO 	Keyboard events cleared
39.5854 	EXP 	grating: autoDraw = True
39.5892 	EXP 	fixation: autoDraw = False
39.8730 	EXP 	grating: autoDraw = False
40.1205 	EXP 	Device response: <KeyPress from None: t=40.105956167011755, value=left, duration=None>
40.1257 	DATA 	Keypress: left
40.1285 	EXP 	fixation: autoDraw = False
40.1285 	EXP 	grating: autoDraw = False
40.1285 	EXP 	grating: ori = np.float64(-3.0)
40.1285 	EXP 	fixation: autoDraw = True
40.2396 	EXP 	Device response: <KeyPress from None: t=40.105956167011755, value=left, duration=0.1324032080010511>
40.6189 	INFO 	Keyboard events cleared
40.6187 	EXP 	grating: autoDraw = True
40.6227 	EXP 	fixation: autoDraw = False
40.9058 	EXP 	grating: autoDraw = False
41.2410 	EXP 	Device response: <KeyPress from None: t=41.236047792001045, value=left, duration=None>
41.2453 	DATA 	Keypress: left
41.2520 	EXP 	fixation: autoDraw = False
41.2520 	EXP 	grating: autoDraw = False
41.2520 	EXP 	grating: ori = np.float64(-2.5)
41.2520 	EXP 	fixation: autoDraw = True
41.3867 	EXP 	Device response: <KeyPress from None: t=41.236047792001045, value=left, duration=0.14024633300141431>
41.7406 	INFO 	Keyboard events cleared
