stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
37,0.5,3.5,36.19430108400411,,36.1872926250071,36.19430108400411,36.68539879200398,36.68539879200398,36.689314750008634,36.97158841700002,37.13651429201127,right,3.5,1,1,0.4437646250007674,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
38,0.5,3.5,37.14347200001066,,37.136792959005106,37.14347200001066,37.63547725000535,37.63547725000535,37.64024466701085,37.92174045900174,38.05390000001353,right,3.5,1,1,0.40655183300259523,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
39,0.5,3.0,38.061437374999514,,38.05428008400486,38.061437374999514,38.55215325001336,38.55215325001336,38.55649120900489,38.83894370900816,39.08734579200973,left,-3.0,1,1,0.5258708329929505,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
40,0.5,3.0,39.09521520900307,,39.08782837500621,39.09521520900307,39.585383084006025,39.585383084006025,39.58915650000563,39.872979750012746,40.12073062499985,left,-3.0,1,1,0.5204983330040704,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
41,0.5,3.0,40.12852379200922,,40.12120441700972,40.12852379200922,40.61871225001232,40.61871225001232,40.62269266700605,40.90577808400849,41.241151334004826,left,-3.0,1,1,0.6172670829982962,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
42,0.5,2.5,41.25201491700136,,41.24140416701266,41.25201491700136,41.740412209008355,41.740412209008355,41.740412209008355,42.03953400001046,42.18694670900004,left,-2.5,1,1,0.439665290992707,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
43,0.5,2.5,42.19474641700799,,42.18741870899976,42.19474641700799,42.68518704200687,42.68518704200687,42.68867516700993,42.972918250001385,43.10348916701332,left,-2.5,1,1,0.41371454199543223,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
44,0.5,2.5,43.11109912500251,,43.10383879201254,43.11109912500251,43.60201645900088,43.60201645900088,43.605887249999796,43.889717542013386,44.1534906670131,right,2.5,1,1,0.5488969580037519,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
45,0.5,2.0,44.161363084000186,,44.153829500006395,44.161363084000186,44.652115584001876,44.652115584001876,44.65597445900494,44.939857375007705,45.353659459011396,right,2.0,1,1,0.698743373999605,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
46,0.5,2.0,45.361869084008504,,45.35401104199991,45.361869084008504,45.85208362500998,45.85208362500998,45.85539000001154,46.138793917009025,46.42332583401003,left,-2.0,1,1,0.5666180410044035,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
47,0.5,2.0,46.435523959007696,,46.42359025000769,46.435523959007696,46.923936334002065,46.923936334002065,46.923936334002065,47.22273200000927,47.43721737500164,right,2.0,1,1,0.5058144999929937,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
48,0.5,1.5,47.44561966700712,,47.43761891699978,47.44561966700712,47.935374375010724,47.935374375010724,47.939835875004064,48.22305004201189,48.33675354201114,right,1.5,1,1,0.3955083329929039,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
49,0.5,1.5,48.34536362500512,,48.33706883400737,48.34536362500512,48.83534041700477,48.83534041700477,48.83923275000416,49.122252625005785,49.290023209003266,right,1.5,0,0,0.45332295799744315,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
50,0.5,2.0,49.30223029199988,,49.290282875008415,49.30223029199988,49.78537508400041,49.78537508400041,49.78945850000309,50.072572000004584,50.20699100001366,left,-2.0,1,1,0.4192818739975337,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
51,0.5,2.0,50.21883320900088,,50.20724712499941,50.21883320900088,50.7022389590129,50.7022389590129,50.70659866700589,50.98963908400037,51.50381420900521,right,2.0,0,0,0.7975216249906225,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
52,0.5,2.5,51.51226725000015,,51.5041835840093,51.51226725000015,52.00196829201013,52.00196829201013,52.00540958400234,52.288381167003536,52.67408404200978,left,-2.5,1,1,0.6676184579991968,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
53,0.5,2.5,52.685310750006465,,52.674598959012656,52.685310750006465,53.16885312501108,53.16885312501108,53.17260033400089,53.4555555840052,53.689755250001326,left,-2.5,1,1,0.5178420830052346,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
54,0.5,2.5,53.702245959007996,,53.690022917013266,53.702245959007996,54.185618709001574,54.185618709001574,54.18997970900091,54.47256320901215,54.63729916700686,left,-2.5,1,1,0.44715712500328664,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
