delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.4,1000.0,exp,151,7,12,space,0.44120912498328835,None,300,1,[2.341955749958288],[2.341960832942277],12,7,151,7,740.2971332090092,,740.2895448339987,740.2971332090092,741.287904292054,741.287904292054,741.287904292054,741.7324975000229,space,0.44120912498328835,None,741.7338540000492,742.1386716666786,742.4471646670136,742.425968042051,742.4281592920306,742.4471646670136,742.4471646670136,742.4471646670136,744.7894903750275,300,1,[2.341955749958288],[2.341960832942277],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.4,1000.0,exp,152,8,12,space,0.6888302909792401,None,200,1,[1.9751987080089748],[1.975204250018578],12,8,152,10,744.7981789170299,,744.7896853340208,744.7981789170299,745.7882496250095,745.7882496250095,745.7882496250095,746.4827615840477,space,0.6888302909792401,None,746.484198500053,746.8878358337136,747.1971291250084,747.1762915420113,747.178329834016,747.1971291250084,747.1971291250084,747.1971291250084,749.1727413750486,200,1,[1.9751987080089748],[1.975204250018578],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.1,1000.0,exp,153,9,12,space,0.7358485829900019,None,400,1,[1.4909045409876853],[1.4909090409637429],12,9,153,6,749.1801274590543,,749.1729442500509,749.1801274590543,750.1721163750044,750.1721163750044,750.1721163750044,750.9176230000448,space,0.7358485829900019,None,750.9188572920393,751.020172083696,751.3314574590186,751.3091492920066,751.3115536250407,751.3314574590186,751.3314574590186,751.3314574590186,752.8227299590362,400,1,[1.4909045409876853],[1.4909090409637429],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.1,400.0,unexp,154,10,12,space,0.3418416240019724,None,590,1,[4.783329750003759],[4.7833365830010734],12,10,154,0,752.8303842090536,,752.8229143750505,752.8303842090536,753.8140089170192,753.8140089170192,753.8213532500085,754.1840185420006,space,0.3418416240019724,None,754.1856405420112,754.2888611257115,754.6058545840206,754.585729125014,754.5879377090023,754.6058545840206,754.6058545840206,754.6058545840206,759.3896010420285,590,1,[4.783329750003759],[4.7833365830010734],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.1,1000.0,exp,155,11,12,space,0.3815073749865405,None,500,1,[2.5841882080421783],[2.5841934580239467],12,11,155,9,759.3972005000105,,759.3897855840041,759.3972005000105,760.3880746250506,760.3880746250506,760.3880746250506,760.7728096250212,space,0.3815073749865405,None,760.7743289589998,760.8809582917058,761.188098167011,761.169463541999,761.1708336250158,761.188098167011,761.188098167011,761.188098167011,763.7727099170443,500,1,[2.5841882080421783],[2.5841934580239467],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.7,1000.0,exp,156,0,13,space,0.550258123956155,None,700,1,[4.4334488330059685],[4.433453665988054],13,0,156,8,763.7805339170154,,763.7729320000508,763.7805339170154,764.7643431250472,764.7643431250472,764.7715630000457,765.3233830840327,space,0.550258123956155,None,765.3248293340439,766.0312562506917,766.3390924590058,766.3189374170033,766.3211149170529,766.3390924590058,766.3390924590058,766.3390924590058,770.7729566250346,700,1,[4.4334488330059685],[4.433453665988054],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.1,1000.0,exp,157,1,13,space,0.3402934580226429,None,500,1,[1.7330042500398122],[1.7330087500158697],13,1,157,9,770.7805846250267,,770.7731773750274,770.7805846250267,771.7721630420419,771.7721630420419,771.7721630420419,772.1161470840452,space,0.3402934580226429,None,772.1177694170037,772.2224060416959,772.5393910840503,772.5189543750021,772.521251542028,772.5393910840503,772.5393910840503,772.5393910840503,774.272812500014,500,1,[1.7330042500398122],[1.7330087500158697],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.4,1000.0,exp,158,2,13,space,0.38826149998931214,None,700,1,[1.816678416042123],[1.816683583019767],13,2,158,10,774.2805746250087,,774.2729884590372,774.2805746250087,775.2651165840216,775.2651165840216,775.2721311250352,775.6573155420483,space,0.38826149998931214,None,775.6587940000463,776.0655655837074,776.3725041670259,776.3526880840072,776.3544598340522,776.3725041670259,776.3725041670259,776.3725041670259,778.1895942920237,700,1,[1.816678416042123],[1.816683583019767],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.4,400.0,unexp,159,3,13,space,0.2640227079973556,None,200,1,[1.3925302919815294],[1.39253541699145],13,3,159,1,778.1969563340535,,778.1898031250457,778.1969563340535,779.1992859170423,779.1992859170423,779.1992859170423,779.4674051250331,space,0.2640227079973556,None,779.4689000840299,779.8722065836812,780.1799358340213,780.1592470840551,780.1608911670046,780.1799358340213,780.1799358340213,780.1799358340213,781.5728511670022,200,1,[1.3925302919815294],[1.39253541699145],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.7,1000.0,exp,160,4,13,space,0.431141083012335,None,600,1,[1.725500624976121],[1.7255047090002336],13,4,160,5,781.5806260840036,,781.5730555420159,781.5806260840036,782.5712278340361,782.5712278340361,782.5712278340361,783.0067547500366,space,0.431141083012335,None,783.0072612500517,783.7152513756921,784.022700875008,784.0024337090435,784.0046280420502,784.022700875008,784.022700875008,784.022700875008,785.7485885420465,600,1,[1.725500624976121],[1.7255047090002336],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.1,1000.0,exp,161,5,13,space,0.2738317910116166,None,200,1,[1.2776336249662563],[1.2776380410068668],13,5,161,6,785.752422834048,,785.7488035840215,785.752422834048,786.7382690840168,786.7382690840168,786.7478178340243,787.0168580420432,space,0.2738317910116166,None,787.018797167053,787.1167015006688,787.4308059170144,787.409317792044,787.4114636669983,787.4308059170144,787.4308059170144,787.4308059170144,788.7088517920347,200,1,[1.2776336249662563],[1.2776380410068668],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.4,1000.0,exp,162,6,13,space,0.3030197910265997,None,300,1,[1.1939416249515489],[1.1939457079861313],13,6,162,7,788.7165756250033,,788.7090408750228,788.7165756250033,789.7046318339999,789.7046318339999,789.7152245420148,790.0164189170464,space,0.3030197910265997,None,790.0177814590279,790.4214104586902,790.7284786670352,790.7085174170206,790.710350709036,790.7284786670352,790.7284786670352,790.7284786670352,791.9228073750273,300,1,[1.1939416249515489],[1.1939457079861313],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.7,400.0,unexp,163,7,13,space,0.29006520804250613,None,700,1,[3.1674050830188207],[3.167409250047058],13,7,163,2,791.930722500023,,791.9230130840442,791.930722500023,792.9146131669986,792.9146131669986,792.9221620000317,793.206173417042,space,0.29006520804250613,None,793.2080525420024,793.9147647506945,794.2217973340303,794.2020319590229,794.2040240000351,794.2217973340303,794.2217973340303,794.2217973340303,797.3895981250098,700,1,[3.1674050830188207],[3.167409250047058],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.1,1000.0,exp,164,8,13,space,0.5608064159750938,None,200,1,[1.265786083007697],[1.2657903330400586],13,8,164,3,797.3973946670303,,797.389806125022,797.3973946670303,798.3880760419997,798.3880760419997,798.3880760419997,798.9563665000023,space,0.5608064159750938,None,798.9576647500508,799.0644956256767,799.3736790840048,799.3531407090486,799.3552724170149,799.3736790840048,799.3736790840048,799.3736790840048,800.6398617920349,200,1,[1.265786083007697],[1.2657903330400586],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
