thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
43,0,43,[np.float64(0.23166666666666666)],[np.float64(0.0033333333333333335)],[1],[0],[0],[0.9740025829960359],['target'],43,0,43,0,58.78388333300245,,5,58.77750279099564,58.78388333300245,58.78388333300245,0.009186334005789831,59.75154787499923,[np.float64(0.23166666666666666)],[np.float64(0.0033333333333333335)],[1],[0],[0],[0.9740025829960359],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
44,0,44,[np.float64(-0.38666666666666666)],[np.float64(-0.45)],[1],[0],[0],[2.066654624999501],['target'],44,0,44,0,59.7775312080048,,10,59.768909291000455,59.7775312080048,59.7775312080048,0.017243708003661595,61.83560449999641,[np.float64(-0.38666666666666666)],[np.float64(-0.45)],[1],[0],[0],[2.066654624999501],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
45,0,45,[np.float64(0.155)],[np.float64(0.105)],[1],[0],[0],[1.3735943750070874],['target'],45,0,45,0,61.85143020800024,,5,61.84491370800242,61.85143020800024,61.85143020800024,0.009166499992716126,63.218557000000146,[np.float64(0.155)],[np.float64(0.105)],[1],[0],[0],[1.3735943750070874],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
46,0,46,[np.float64(0.22333333333333333)],[np.float64(-0.14)],[1],[0],[0],[1.37424729099439],['target'],46,0,46,0,63.23510024999268,,5,63.2279412909993,63.23510024999268,63.23510024999268,0.009259707992896438,64.6022114160005,[np.float64(0.22333333333333333)],[np.float64(-0.14)],[1],[0],[0],[1.37424729099439],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
47,0,47,[np.float64(-0.41)],[np.float64(0.26)],[1],[0],[0],[1.4397789590002503],[None],47,0,47,0,64.61887416600075,,5,64.61183904099744,64.61887416600075,64.61887416600075,0.009529332994134165,66.05166566600383,[np.float64(-0.41)],[np.float64(0.26)],[1],[0],[0],[1.4397789590002503],[None],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
48,0,48,[np.float64(-0.49)],[np.float64(-0.4666666666666667)],[1],[0],[0],[1.5155836670019198],['target'],48,0,48,0,66.07904745799897,,10,66.06962841599307,66.07904745799897,66.07904745799897,0.017843875000835396,67.58524462500645,[np.float64(-0.49)],[np.float64(-0.4666666666666667)],[1],[0],[0],[1.5155836670019198],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
49,0,49,[np.float64(0.4816666666666667)],[np.float64(-0.075)],[1],[0],[0],[1.390643042002921],[None],49,0,49,0,67.60165933299868,,5,67.59461474999262,67.60165933299868,67.60165933299868,0.009221792002790608,68.98530695799855,[np.float64(0.4816666666666667)],[np.float64(-0.075)],[1],[0],[0],[1.390643042002921],[None],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
50,0,50,[np.float64(-0.38666666666666666)],[np.float64(0.09833333333333333)],[1],[0],[0],[0.9821329580008751],[None],50,0,50,0,69.01245429100527,,10,69.00273845800257,69.01245429100527,69.01245429100527,0.017314124997938052,69.98491404099332,[np.float64(-0.38666666666666666)],[np.float64(0.09833333333333333)],[1],[0],[0],[0.9821329580008751],[None],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
51,0,51,[np.float64(0.24833333333333332)],[np.float64(-0.27)],[1],[0],[0],[1.4160054579988355],['target'],51,0,51,0,70.011996250003,,10,70.00251212499279,70.011996250003,70.011996250003,0.017458250003983267,71.41855945800489,[np.float64(0.24833333333333332)],[np.float64(-0.27)],[1],[0],[0],[1.4160054579988355],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
52,0,52,[np.float64(-0.43)],[np.float64(0.085)],[1],[0],[0],[1.1492239579965826],['target'],52,0,52,0,71.44511291600065,,10,71.43612970800314,71.44511291600065,71.44511291600065,0.01742987499164883,72.58539712500351,[np.float64(-0.43)],[np.float64(0.085)],[1],[0],[0],[1.1492239579965826],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
